Peak,Replicate,Elevation,AFT_date,date_error
Pikes Peak,92PP03,2680,123.6,11.2
Pikes Peak,92PP05,2771,211.7,21.3
Pikes Peak,92PP06,2482,66.2,2.9
Pikes Peak,92PP07,2183,66.6,6.3
Pikes Peak,92PP08,2054,56.8,8.9
Pikes Peak,92PP09,1866,59.7,5.5
Pikes Peak,92PP10,1777,57.1,7.1
Pikes Peak,92PP11,4297,449,58
Longs Peak ,99LP01,4343,51.7,4.3
Longs Peak ,99LP02,4121,55.1,4.2
Longs Peak ,99LP03,4023,45.1,8.5
Longs Peak ,99LP04,3688,53.3,5.4
Longs Peak ,99LP05,3383,49.2,5.1
Longs Peak ,99LP06,2835,47.3,4.2
Mount Evans,DF-937,2401,68.5,5
Mount Evans,Df-938,2929,66.5,4
Mount Evans,DF-1342,3350,57.8,8.7
Mount Evans,DF-940,3703,98,5
Mount Evans,DF-1343,4017,90.2,12.7
Mount Evans,DF-939,4312,134,7